	cluster
p56rep1-0	0
p56rep1-1	1
p56rep1-2	2
p56rep1-3	3
p56rep1-4	4
p56rep1-5	5
p56rep1-6	5
p56rep1-7	6
p56rep1-8	7
p56rep1-9	1
p56rep1-10	0
p56rep1-11	0
p56rep1-12	4
p56rep1-13	2
p56rep1-14	0
p56rep1-15	2
p56rep1-16	1
p56rep1-17	5
p56rep1-18	6
p56rep1-19	2
p56rep1-20	7
p56rep1-21	2
p56rep1-22	0
p56rep1-23	8
p56rep1-24	8
p56rep1-25	9
p56rep1-26	9
p56rep1-27	9
p56rep1-28	4
p56rep1-29	2
p56rep1-30	10
p56rep1-31	2
p56rep1-32	9
p56rep1-33	11
p56rep1-34	11
p56rep1-35	2
p56rep1-36	1
p56rep1-37	0
p56rep1-38	4
p56rep1-39	0
p56rep1-40	1
p56rep1-41	4
p56rep1-42	4
p56rep1-43	6
p56rep1-44	8
p56rep1-45	0
p56rep1-46	8
p56rep1-47	9
p56rep1-48	8
p56rep1-49	8
p56rep1-50	2
p56rep1-51	0
p56rep1-52	6
p56rep1-53	6
p56rep1-54	2
p56rep1-55	4
p56rep1-56	8
p56rep1-57	2
p56rep1-58	2
p56rep1-59	5
p56rep1-60	11
p56rep1-61	2
p56rep1-62	7
p56rep1-63	12
p56rep1-64	6
p56rep1-65	0
p56rep1-66	7
p56rep1-67	2
p56rep1-68	3
p56rep1-69	2
p56rep1-70	5
p56rep1-71	2
p56rep1-72	5
p56rep1-73	3
p56rep1-74	0
p56rep1-75	9
p56rep1-76	0
p56rep1-77	8
p56rep1-78	6
p56rep1-79	6
p56rep1-80	6
p56rep1-81	8
p56rep1-82	6
p56rep1-83	0
p56rep1-84	10
p56rep1-85	10
p56rep1-86	8
p56rep1-87	8
p56rep1-88	1
p56rep1-89	6
p56rep1-90	6
p56rep1-91	8
p56rep1-92	2
p56rep1-93	1
p56rep1-94	5
p56rep1-95	0
p56rep1-96	7
p56rep1-97	4
p56rep1-98	2
p56rep1-99	0
p56rep1-100	0
p56rep1-101	4
p56rep1-102	4
p56rep1-103	3
p56rep1-104	9
p56rep1-105	1
p56rep1-106	0
p56rep1-107	0
p56rep1-108	8
p56rep1-109	11
p56rep1-110	0
p56rep1-111	8
p56rep1-112	0
p56rep1-113	10
p56rep1-114	7
p56rep1-115	3
p56rep1-116	5
p56rep1-117	1
p56rep1-118	7
p56rep1-119	11
p56rep1-120	1
p56rep1-121	6
p56rep1-122	9
p56rep1-123	10
p56rep1-124	10
p56rep1-125	0
p56rep1-126	6
p56rep1-127	2
p56rep1-128	0
p56rep1-129	6
p56rep1-130	0
p56rep1-131	10
p56rep1-132	6
p56rep1-133	11
p56rep1-134	8
p56rep1-135	2
p56rep1-136	2
p56rep1-137	2
p56rep1-138	0
p56rep1-139	6
p56rep1-140	0
p56rep1-141	2
p56rep1-142	2
p56rep1-143	5
p56rep1-144	0
p56rep1-145	0
p56rep1-146	6
p56rep1-147	2
p56rep1-148	6
p56rep1-149	5
p56rep1-150	2
p56rep1-151	0
p56rep1-152	0
p56rep1-153	6
p56rep1-154	0
p56rep1-155	4
p56rep1-156	11
p56rep1-157	6
p56rep1-158	0
p56rep1-159	5
p56rep1-160	6
p56rep1-161	0
p56rep1-162	8
p56rep1-163	6
p56rep1-164	0
p56rep1-165	9
p56rep1-166	10
p56rep1-167	6
p56rep1-168	5
p56rep1-169	1
p56rep1-170	1
p56rep1-171	5
p56rep1-172	4
p56rep1-173	0
