	mean_inCluster	mean_outCluster	log2_fold	p-value	relevant_genes
167	49.45412650328267	8.949630947469517	2.4661776062827623	1.5911280253164442e-68	1110004F10Rik;1700003G18Rik;2310016D03Rik;4930461G14Rik;4933416O17Rik;9030612E09Rik;Sobp;9230117E06Rik;9930111H07Rik;A730043L09Rik;Abr;Acot11;Actl11;Camkv;Mst1r;Acvr1;Upp2;Arap1;Stard10;Atp1b4;Batf3;Btg1;Cdk1;Chst10;Crmp1;Ctxn3;D16Ertd519e;Dlx5;Dlx6os1;Dlx6os2;Dmkn;Krtdap;Ect2l;Eps8;Ercc1;Fosb;Evl;Gdpd3;Mapk3;Glrb;Gm10400;Gm5105;Gm5547;Rap1a;Grin2b;Hcn4;Hephl1;Homer3;Hpdl;Mutyh;Hps1;Pyroxd2;Igf1r;Igfbpl1;Jund;Lsm4;Klrb1f;Lrrc52;Mir5108;Mir6349;Npas2;Mir8106;Nap1l5;Pcp4l1;Pop1;Rida;Prkg2;Prss35;Rasgrf2;Redrum;Rspo3;Shank2;Susd2;Syde2;Tln2;Tmigd1;Wee1;Zbtb7a;Zfp326
273	50.09944620852075	13.956084107992147	1.8438930012441372	8.024602166821391e-63	1110002J07Rik;1190005I06Rik;1700018A04Rik;1700057H21Rik;1700071M16Rik;1700121N20Rik;1810013A23Rik;1810013L24Rik;1810041H14Rik;Gpr18;2010003K11Rik;Pcx;2010111I01Rik;2310002D06Rik;Galnt16;2310034O05Rik;2410004I01Rik;C1ql1;2700099C18Rik;Mettl4;4930452A19Rik;4930469K13Rik;4930519K11Rik;Kcnma1;4930543E12Rik;9330104G04Rik;Dact3;Prkd2;9430069I07Rik;A930009A15Rik;AI197445;Abca8a;Actb;Actl11;Camkv;Mst1r;Adam12;Ahnak;Eef1g;Aig1;Aipl1;Pimreg;Angptl7;Ankrd29;Lama3;Apaf1;Ikbip;Arhgap29;Arhgef3;Arl5c;Cacnb1;Plxdc1;Arx;Asb18;Asic2;B230214G05Rik;BC022687;Bach2;Bcl11b;Bglap;Bglap2;Bglap3;Paqr6;Bri3;Tecpr1;Btg1;Bvht;Carmn;Mir143;Mir145a;C130071C03Rik;Mir9-2;Capn2;Capn8;Ccdc180;Cdk20;Chst11;Chsy1;Cish;Clk2;Gm45927;Hcn3;Scamp3;Col24a1;Cpb2;Csgalnact1;Ctgf;Dclk2;Dgkz;Diras1;Gng7;Slc39a3;Dlgap1;Dlx1;Dok4;Polr2c;Dpp6;E2f6;Greb1;Eif4ebp1;Eva1b;Sh3d21;Eva1c;Fam83f;Mir6957;Foxn4;Frzb;Gaa;Gdpd5;Gm10536;Gm10556;Gm11190;Sez6;Gm11201;Gm13944;Gm14486;Gm15713;Gm15880;Gm17059;Gm20219;Gm20744;Gm2721;Gm28979;Gm45913;Gm6402;Gm9054;Gnai3;Gpr61;Gng4;Gramd1b;Grip2;Hacd2;Heatr1;Helb;Henmt1;Prpf38b;Hist1h2aa;Hist1h2ba;Slc17a4;Hps1;Hsf2bp;Rrp1b;Ifnl2;Ifnl3;Nccrp1;Sycn;Igf2r;Igsf21;Il34;Irgc1;Itm2b;Jun;Kcnb1;Kcnh3;Kcnq1ot1;Kirrel3;Krt32;Krtap5-4;Lama5;Lix1;Lpp;Lrrc75a;Mmgt2;Ltbp4;Shkbp1;Mafa;Map3k19;Mcur1;Mgst3;Mir139;Pde2a;Mir1951;Mir3080;Mir6407;Mir6996;Mir7090;Mirt2;Spatc1;Mlph;Morn1;Rer1;Msantd3;Mtus2;Myo3b;Nat14;Ssc5d;Nde1;Nkain1;Notch2;Nox3;Nr4a2;Nron;Nrxn2;Nsg2;Ntsr1;Oprd1;Otc;Pabpc6;Pcp4l1;Pde1b;Ppp1r1a;Pdha2;Pdik1l;Trim63;Pgf;Phc2;Phc3;Phldb1;Pnkd;Prex1;Prkg1;Ptpn5;Qsox2;Rab44;Rab4a;Rbfox1;Rbfox3;Rbmxl1;Slc10a7;Rhbg;Rhox6;Rhox7a;Ric8b;Rragd;Rundc3b;Sapcd1;Vwa7;Sardh;Sema4b;Sept9;Serpinb7;Sertad2;Sfn;Sh3rf2;Sipa1l1;Slc28a1;Slc35b1;Sp8;Sp9;Spata7;Spsb4;Sptbn1;Srsf7;Tada2a;Tamm41;Tbx21;Tead1;Timmdc1;Tinagl1;Tmem2;Tmem47;Tpm1;Trim56;Txndc11;Unc13d;Vav2;Vwa5a;Wnt3;Zfp335;Zfp407;Zswim2
28	20.47987840122153	3.238456810630858	2.6607912367172597	2.0938156065326036e-60	4930405A21Rik;Dlgap4;6430571L13Rik;Hemk1;6430584L05Rik;Capn2;Cox5a;Rpp25;Crmp1;Foxe3;Frmd7;Gm12348;Jup;Hist1h2aa;Hist1h2ba;Itm2b;Pcp4l1;Shroom2;Zcchc14
280	28.670696827895014	3.969383933338171	2.852558638924222	2.7247937114999167e-60	4930405D11Rik;4930556M19Rik;Rai14;6030419C18Rik;A230077H06Rik;Vstm2b;Amotl1;Apopt1;Bag5;Clrn1;Csrp2;Cyfip1;Fam207a;Filip1l;Gm12354;Wwp1;Gm20362;Gm21057;Gm5091;Gm973;Kcnb2;Lrrc4;Mcub;Mir7080;Mtfp1;Mtif3;Olfr16;Panx1;Rps4l;Sirpa;St6galnac3;Tuba8
540	44.245027976189874	9.096764828589036	2.282077281266037	3.9530195132981825e-56	1700054M17Rik;1810012K16Rik;Slc25a15;1810026B05Rik;Chd2;2210408F21Rik;Lncpint;2900092D14Rik;Pantr2;4930461G14Rik;4930465M20Rik;4930542D17Rik;Ccdc54;4930542M03Rik;4930554I06Rik;9330162B11Rik;AI504432;Kcna3;Actn2;Agfg2;Angpt2;Ank1;Ank3;Ap4s1;Strn3;Arhgef17;Asb15;Ndufa5;Asphd2;B430319G15Rik;Plod2;Bcas1os2;Cacna1c;Cacnb4;Ccdc63;Ppp1cc;Cdcp2;Cdk1;Cdk14;Cela3a;Cela3b;Cldnd2;Lim2;Nkg7;Siglecg;Clec9a;Cntrob;Kcnab3;Rnf227;Trappc1;Colca2;Commd9;Prr5l;Cyp2s1;Dcaf4;Ddx10;Dek;Dgat2;Dnajc4;Fermt3;Nudt22;Trpt1;Vegfb;Dpt;Eipr1;Trappc12;Enoph1;Hnrnpdl;Gm10687;Mcam;Gm15501;Gm15663;Tmtc2;Gm4262;Gm5547;Gm6313;Gpr37l1;Gpr83;Grin1;Grin1os;Lrrc26;Tmem210;Hopx;Igsf3;Inpp5j;Selenom;Kazn;Kcnj4;Keap1;Lims1;Ltbp4;Mas1;Meaf6;Mettl3;Rab2b;Tox4;Mir3470a;Pla2g3;Mir5106;Mir6353;Mitf;Mr1;Stx6;Mtnr1b;Myof;Nav2;Ncf1;Ndc1;Nfatc1;Nrxn1;Osr2;Phf2;Pld6;Polk;Prn;Prnp;Prrx2;Prss23;Rhob;Rnf180;Runx2;Samd7;Sgpp1;Sh3bgrl2;Sh3bp5l;Zfp672;Zfp692;Shank2;Slc18a2;Slitrk6;Srsf1;Svopl;Tcp11l2;Tmem38b;Ubash3b;Usp18;Vipr2
202	33.833737563380055	10.966503369544379	1.625350066101712	1.983416501482568e-49	1700003M07Rik;Adgrb2;1700007F19Rik;1700019G24Rik;1700025G04Rik;1700034J05Rik;1700034K08Rik;1700051A21Rik;Slc13a5;Xaf1;1700067G17Rik;1810037I17Rik;4933405D12Rik;2210417A02Rik;2700054A10Rik;4933433G08Rik;I730028E13Rik;4933440M02Rik;6430548M08Rik;Zdhhc7;6430562O15Rik;6430584L05Rik;9330159F19Rik;A530010L16Rik;A530065N20Rik;AU015228;Tgm6;Acyp2;Adamts9;Adap1;Cox19;Adat2;Pex3;Adgre5;Mir1668;Aldh3a1;Ankrd6;Aplp2;Arhgap10;Arl6ip5;Uba3;Asph;Atp1a3;Atxn7l1os2;Efcab10;Bcl9l;Bhlhe23;Btnl9;Olfr1394;C1rl;Clstn3;C430002N11Rik;Ccdc171;Ccdc74a;Smpd4;Cchcr1;Cdsn;Psors1c2;Tcf19;Ccl25;Elavl1;Cdc16;Chchd10;Gm5134;Gm867;Mmp11;Vpreb3;Chmp1a;Dpep1;Spata33;Cilp2;Yjefn3;Clp1;Zdhhc5;Crabp2;Isg20l2;Mrpl24;Rrnad1;Crip3;Slc22a7;Crybg1;Csrnp3;Daam1;Dhx32;Dmrtc2;Lypd4;Dnaic2;Dock10;Dytn;E030030I06Rik;Raet1a;Raet1e;Efna1;Epb41l3;Erg;Evi5;Ezh1;Ramp2;Vps25;Fam120a;Fam120aos;Fam20c;Fer;Fjx1;Fndc4;Gckr;Ift172;Fsd1;Mpnd;Stap2;Gatb;Gm10494;Gm15179;Speg;Gm17359;Gm45923;Myod1;Gm9748;Mir759;Gnb1l;Gnpnat1;Gpr61;Gpr87;P2ry13;Grhl3;Gripap1;Tfe3;Grsf1;Guca2b;Hmox2;Hspa8;Igfbp5;Il34;Snord111;Klf8;Lama3;Lgals3;Limch1;Lipg;Lpp;Macrod1;Magix;Plp2;Prickle3;Map3k20;Mef2d;Mir28b;Mir466d;Mir6540;Mir6957;Mir705;Sfxn5;Mir7213;Mir8108;Mrpl33;Mrps30;Mrps6;Slc5a3;Mtdh;Mterf1a;Mtrf1l;Mul1;Nap1l1;Napb;Nim1k;Nisch;Tnnc1;Oasl1;Oasl2;Osbpl9;Papolb;Parvaos;Pcbp3;Pcsk2os2;Pdk1;Pglyrp4;S100a9;Phactr2;Pik3c2g;Plcb4;Plk2;Ppp1r14a;Spint2;R3hdm1;Rap1b;Rapgef1;Rarres1;Rhobtb2;Rnf14;Rrp7a;Scube1;Slc16a7;Slc22a13b-ps;Slc25a19;Slc9a7;Snn;Soat1;Stac;Syne1;Synrg;Syt13;Tbl1xr1;Tmem18;Tmem51;Tmem51os1;Tnfaip6;Tnfsf13b;Tox2;Trerf1;Trpv6;Vdac1;Vgll4;Wasf3;Xpnpep2;Ypel2;Zc3h12c;Zc3h14
437	77.94979780298004	32.89408815341953	1.244714424795795	5.977475994501136e-48	1110004E09Rik;1110008L16Rik;Ppp2r3c;1700001C02Rik;1700022I11Rik;Dnajb5;1700025J12Rik;4933432K03Rik;1700028J19Rik;2410002F23Rik;Acp4;Gm15517;Snord88a;Snord88c;1700040D17Rik;Lingo4;Tdrkh;1700060C20Rik;1700085C21Rik;1700108J01Rik;2010106C02Rik;2310015D24Rik;2410021H03Rik;2700054A10Rik;3110040N11Rik;4732471J01Rik;Cnfn;4833419F23Rik;Map3k8;Mtpap;4930405J17Rik;Rpl32l;4930407I10Rik;Mei1;Snu13;4930417O13Rik;Tuba3a;4930431P03Rik;Mir327;4930470G03Rik;Mir1896;Nkapl;Pgbd1;Zscan26;4930473A02Rik;Avp;Mrps26;Oxt;4930567K12Rik;4930568G15Rik;4932413F04Rik;4933408J17Rik;Snrpf;4933416O17Rik;4933438B17Rik;5031425E22Rik;Kmt2e;5031434O11Rik;6430571L13Rik;Hemk1;6430628N08Rik;Kncn;8030474K03Rik;9130015G15Rik;9530026F06Rik;A430046D13Rik;Esyt1;Mir6916;A430078G23Rik;A530065N20Rik;A730056A06Rik;Rgma;AI646519;Pax1;AI839979;AI854703;Repin1;Zfp775;AU022754;Wnt7b;AW495222;Abat;Abca2;Fut7;Npdc1;Abhd10;Ablim1;Acat3;Mrpl18;Snora20;Tcp1;Ackr1;Acss1;E130215H24Rik;Actbl2;Acvr1c;Acvr2b;Adap1;Cox19;Cyp2w1;Adcy9;Add3;Adh4;Adh5;Afap1l1;Ajuba;Akap6;Angptl8;Dock6;Ank2;Ankrd6;Ano1;Anxa9;Cers2;Mindy1;Prune1;Aoc2;Aoc3;Aox2;Arhgap30;Klhdc9;Nectin4;Arhgap30;Nectin4;Arhgef33;Arl8b;Armc9;Armcx4;B230119M05Rik;Arsi;Asb11;Asb4;Asmt;Atp1b2;Fxr2;Mir467f;Sat2;Shbg;Atp2b4;Axin2;Axl;Cyp2s1;Azin1;B230118H07Rik;Rag2;B230206H07Rik;Deaf1;Eps8l2;B3gnt3;Insl3;Jak3;Unc13a;BC027072;BC051142;Btnl1;Barx1;Bcas3;Bcl11a;Bdkrb2;Bdnf;Becn2;Bicd2;Fgd3;Bloc1s5;Bmpr1b;Brf2;C030016D13Rik;Pum3;C130036L24Rik;Gm24148;Ncl;Snora75;Snord82;C1qa;C8a;Cabcoco1;Cacna1b;Cacng1;Cald1;Calm3;Pnmal2;Caly;Msx3;Camsap1;Caprin2;Carmn;Mir143;Mir145a;Casr;Cbx5;Ccdc127;Lrrc14b;Sdha;Zfp72;Ccdc8;Ccdc81;Ccl1;Ccl28;Ccr4;Cd2;Cdc42ep1;Lgals2;Cdc45;Ufd1;Cdhr5;Irf7;Sct;Cdk20;Cds2;Celrr;Cep57;Fam76b;Cfap53;Mbd1;Cfap73;Ddx54;Rita1;Chrnb3;Chsy1;Cisd1;Gm20609;Ipmk;Cldn20;Clnk;Clptm1l;Tert;Cndp1;Cntn5;Col6a4;Cops9;Otos;Cox6a1;Gatc;Triap1;Cox7b2;Crabp2;Isg20l2;Rrnad1;Crb2;Cryba2;Fev;Mir375;Cryl1;Ift88;Csgalnact1;Csmd2os;Ctbp2;Ctxn3;Cwc15;Kdm4d;Cxadr;D030045P18Rik;D430019H16Rik;D630013N20Rik;D630039A03Rik;D730003I15Rik;Dcaf12;Dcstamp;Ddo;Dhx34;Disp1;Dixdc1;Dlg1;Dlg2;Dlgap1;Dlgap4;Gm14169;Dnaaf5;Prkar1b;Dnah6;Dnajb9;Gm2027;Mir5627;Dock11;Dstn;Dtnbp1;E030030I06Rik;Raet1a;Raet1b;Raet1c;Raet1e;E2f8;Gm2788;Eed;Eepd1;Egfr;Egr2;Eldr;Fbxo48;Elf5;Elmo1;Eml2;Gipr;Qpctl;Snrpd2;Eml2;Gpr4;Mir330;Emp1;En1;Enox1;Enox2;Epb41;Epb41l4aos;Epo;Zan;Eprn;Eps8;Esco1;Snrpd1;Esp8;Exo5;Extl1;Slc30a2;Eya4;Fam129c;Nxnl1;Pgls;Slc27a1;Fam155a;Fam196a;Fam214b;Unc13b;Fam53b;Fancc;Fat1;Fbrsl1;Fbxl6;Scrt1;Slc52a2;Fbxo46;Mir3100;Six5;Fbxo46;Qpctl;Snrpd2;Fermt2;Fgfrl1;Slc26a1;Fkbp4;Gm10069;Fmo2;Foxd2;Foxd2os;Foxe3;Foxe3;Foxo4;Gm614;Il2rg;Med12;Foxo6;Fpr1;Fpr2;Frmd4b;Fuz;Med25;Ptov1;G630016G05Rik;Meis2;G730013B05Rik;Gaa;Gab1;Gabra5;Gas2l3;Gas6;Gbe1;Gcnt1;Rfk;Gcnt3;Gtf2a2;Gfra1;Ggact;Gm15735;Ghdc;Hcrt;Kcnh4;Glis1;Glrx5;Mir3069;Scarna13;Snhg10;Syne3;Gls2;Rbms2;Gm10421;Gm10432;Gm10512;Gm10845;Gm11426;Gm11482;Tex48;Gm12070;Gm12532;Gm12695;Gm13483;Mmadhc;Gm13710;Gm14486;Gm15713;Gm15915;Gm1604b;Gm16130;Gm19705;Platr22;Gm20609;Gm21057;Gm3086;Sav1;Gm32168;Gm3519;Gm38576;Gm4371;Gm45915;Gm45923;Kcnc1;Myod1;Gm4827;Gm4876;Gm4971;Gm4984;Gm648;Gm7056;Gm9895;Gmnc;Gpd1l;Gpr119;Gpr50;Grid2ip;Grin2b;Grxcr1;Gtf2ird1;Gucy1b1;Gucy2d;Gxylt2;H2-Ab1;H2-M10.6;Trim26;Hbegf;Slc4a9;Hcn4;Helt;Homer2;Hs3st2;Hspa12a;Htatip2;Htr2b;Igfbp2;Iglon5;Vsig10l;Igsf3;Inpp5a;Ipcef1;Itgb6;Itgb8;Jag1;Jdp2;Jkamp;L3hypdh;Jmjd1c;Reep3;Kat6a;Kcnf1;Kcnk13;Kcnk15;Kcnq3;Kctd12b;Nbdy;Kctd13;Kif26a;Mir203;Klc1;Klhl32;Klrb1-ps1;Klrg2;Kmt2d;Krt82;Krt84;Krt90;Krtap27-1;Lama4;Lcor;Ldb1;Ldlrad1;Tceanc2;Tmem59;Ldlrad4;Lgr4;Lime1;Slc2a4rg-ps;Limk1;Lix1;Lrp12;Lrrc18;Lrrc19;Mir872;Lrrc28;Ttc23;Lrrc38;Lrrc7;Lrrfip1;Lsm4;Pgpep1;Ly86;Lyrm9;Lysmd3;Map3k1;Map7;Map9;Mapk4;Mapk9;Mapre3;Tmem214;Marcks;Mboat7;Pirb;Rps9;Tsen34;Mcub;Mdm2;Me3;Meis1;Meis3;Meox1;Mfap3l;Mfsd4b1;Mgst2;Mical3;Minos1;Mir181c;Mir181d;Nanos3;Mir3075;Mir5618;Tmem123;Mir5625;Slc35f6;Mir6357;Mir6366;Mir6372;Mir6386;Plscr1;Plscr2;Mir6537;Mir6537;Zfp574;Mir674;Mir6977;Mir7021;Mir7090;Mir7235;Tbx21;Mirt1;Mki67;Mlycd;Morf4l1;Mras;Nme9;Mrln;Mroh2a;Mroh9;Mrpl23;Mtfp1;Sec14l3;Myl2;Mypn;Myt1;Ndst3;Ndufaf8;Tepsin;Ndufb4;Nefl;Nhsl1;Ninj2;Nkx6-1;Npc1;Nron;Nsd3;Nt5dc3;Ntn3;Tbc1d24;Nupr1;Sgf29;Olfml2b;Olfr1065;Olfr1066;Olfr228;Olfr229;Olfr974;Olfr331;Olfr332;Olfr44;Olfr957;Optn;Osbpl11;Osbpl9;Ostc;Otulin;P2ry2;Panx1;Pappa;Paqr3;Parvb;Pbx3;Pcp2;Pet100;Stxbp2;Xab2;Pdxk-ps;Penk;Pex5l;Pgf;Phex;Pias2;Pigm;Platr5;Plcb4;Plcg1;Plek2;Plekha5;Plekhg5;Tnfrsf25;Plekhs1;Plg;Plscr5;Plxnc1;Pnpla1;Pomp;Pou4f2;Ppargc1a;Ppp4r1l-ps;Rab22a;Ppt1;Prdm13;Prelid3a;Prickle2;Prkaa1;Snord72;Prmt8;Prop1;Zfp354b;Prss39;Psmd4;Rab42;Snhg12;Snora16a;Snora44;Snora61;Snord99;Taf12;Rad21;Ralb;Rapgef1;Rassf3;Rbbp8;Rbfox3;Rbms3;Rcbtb2;Rcl1;Rd3;Rerg;Rfx8;Rgmb;Rhoq;Rilpl2;Snrnp35;Rims3;Rnf121;Trpc2;Xndc1;Xntrpc;Rnf130;Rnf157;Rnf182;Robo1;Rpp25;Rps12;Slc18b1;Snora33;Snord100;Ruvbl1;Rxrg;Ryk;Ryr1;Sae1;Sardh;Scn3a;Sema3f;Sema3g;Tnnc1;Sept9;Sim2;Sipa1l3;Skil;Sla;Slc16a8;Slc17a1;Slc25a12;Slc26a7;Slc35f5;Slc36a1;Slc36a1os;Slc36a2;Slc45a2;Smim20;Smok4a;Smyd2;Snn;Txndc11;Snph;Snx22;Soga1;Tldc2;Sowahb;Sox4;Spaca7;Spats2l;Spdef;Spin1;Sppl2c;Sptbn1;Spty2d1;Srgap3;Srrm3;Srrm4os;St6galnac3;Stab2;Stt3a;Stxbp6;Sybu;Tac2;Zbtb39;Tacr1;Tcf20;Tcf7;Tekt1;Tenm4;Thap4;Tmem106b;Tmem132d;Tmem2;Tmem35a;Trmt2b;Tnfrsf23;Tnfsf4;Togaram2;Tpbgl;Tpd52;Trak1;Trdn;Trim29;Trim62;Trim66;Trp53i11;Tshz1;Zadh2;Tsix;Tsr2;Ttc1;Ttn;Txn2;Tyw1;Ubn2;Usp48;Vangl2;Vps53;Vrk1;Vwc2;Wdr31;Wdr45b;Wnt3;Wnt9b;Xdh;Xpr1;Yeats4;Zbtb33;Zfand5;Zfp407;Zscan2
122	32.87290223417517	8.205565518683448	2.002210968208081	7.818552675314506e-47	1700099I09Rik;1810062G17Rik;Anxa5;Mir7009;2310022B05Rik;4632428C04Rik;9030404E10Rik;4933401H06Rik;4933425B07Rik;5430402O13Rik;Cycs;9530059O14Rik;Adat1;Amacr;C1qtnf3;Angptl7;Anks1b;Aplnr;Areg;Armc2;B930095G15Rik;Bag3;Brms1;Cd248;Rin1;Cckbr;Cep170;Sdccag8;Chmp4c;Zfand1;Chst3;Cln5;Fbxl3;Cpne5;Ppil1;Crmp1;Cuta;Mir3083;Syngap1;Zbtb9;Cyb5r3;Poldip3;Rnu12;Dgkh;Dhdh;Nucb1;Tulp2;Epc1;Mir1893;Fabp12;Fkbp1a;Fpgs;Mir8093;Fuz;Med25;G630093K05Rik;Gm10782;Gm14635;Gm15708;Gm30173;Gm32168;Gm536;Gm6498;Grap;Grin2a;Gsg1;Hnrnpf;Hs3st1;Kcnj6;Kctd4;Kif17;Limd2;Strada;Lrrtm3;Mei1;Mepe;Mir1249;Mir1950;Mir3098;Mrpl51;Ncapd2;Scarna10;Vamp1;Mir6926;Mmp16;Mocos;Morc4;Mpz;Msmo1;Mtmr11;Sf3b4;Nrip3;Ocrl;Pacsin2;Pcsk9;Pde4dip;Pdk2;Pex26;Tuba8;Pkig;Ppp2r3a;Psmg4;Ptgs2;Ptgs2os;Ranbp9;Rem2;Rhcg;Sgsm1;Sh3bp5;Slc16a7;Stac2;Tmigd3;Tnrc6a
419	15.833738185704707	3.9648819348410025	1.9976248150330906	5.860947677731479e-46	1810010D01Rik;2510003B16Rik;Lurap1;Pomgnt1;Rad54l;9030204H09Rik;Adgrl4;Anxa2;Mir3109;Bcat1;Bcl11a;Cckbr;Clvs1;Col7a1;Uqcrc1;Ermp1;Gipr;Qpctl;Snrpd2;Gm17750;Gm19424;Slit1;Gm20743;Il10rb;Jakmip1;Mettl21a;Mir7044;Rasgef1a;Mir7212;Retreg1;Pde2a;Pecr;Tmem169;Ptchd3;Tesc;Tm6sf1;Vipr2
592	16.03556694766323	2.987522961916738	2.4242143623165813	3.1671286923198574e-45	1700022H01Rik;Ppa1;Sar1a;1700042G15Rik;Csk;Lman1l;Dnlz;Gpsm1;Hebp1;Kcnab2;Nphp4;Pacsin2;Stpg2;Tiam2
