	capture	cellNum	dead	notes
p56rep1-0	0.0	0.0	0.0	rep1
p56rep1-1	0.0	0.0	0.0	rep1
p56rep1-2	0.0	0.0	0.0	rep1
p56rep1-3	0.0	0.0	0.0	rep1
p56rep1-4	0.0	0.0	0.0	rep1
p56rep1-5	0.0	0.0	0.0	rep1
p56rep1-6	0.0	0.0	0.0	rep1
p56rep1-7	0.0	0.0	0.0	rep1
p56rep1-8	0.0	0.0	0.0	rep1
p56rep1-9	0.0	0.0	0.0	rep1
p56rep1-10	0.0	0.0	0.0	rep1
p56rep1-11	0.0	0.0	0.0	rep1
p56rep1-12	0.0	0.0	0.0	rep1
p56rep1-13	0.0	0.0	0.0	rep1
p56rep1-14	0.0	0.0	0.0	rep1
p56rep1-15	0.0	0.0	0.0	rep1
p56rep1-16	0.0	0.0	0.0	rep1
p56rep1-17	0.0	0.0	0.0	rep1
p56rep1-18	0.0	0.0	0.0	rep1
p56rep1-19	0.0	0.0	0.0	rep1
p56rep1-20	0.0	0.0	0.0	rep1
p56rep1-21	0.0	0.0	0.0	rep1
p56rep1-22	0.0	0.0	0.0	rep1
p56rep1-23	0.0	0.0	0.0	rep1
p56rep1-24	0.0	0.0	0.0	rep1
p56rep1-25	0.0	0.0	0.0	rep1
p56rep1-26	0.0	0.0	0.0	rep1
p56rep1-27	0.0	0.0	0.0	rep1
p56rep1-28	0.0	0.0	0.0	rep1
p56rep1-29	0.0	0.0	0.0	rep1
p56rep1-30	0.0	0.0	0.0	rep1
p56rep1-31	0.0	0.0	0.0	rep1
p56rep1-32	0.0	0.0	0.0	rep1
p56rep1-33	0.0	0.0	0.0	rep1
p56rep1-34	0.0	0.0	0.0	rep1
p56rep1-35	0.0	0.0	0.0	rep1
p56rep1-36	0.0	0.0	0.0	rep1
p56rep1-37	0.0	0.0	0.0	rep1
p56rep1-38	0.0	0.0	0.0	rep1
p56rep1-39	0.0	0.0	0.0	rep1
p56rep1-40	0.0	0.0	0.0	rep1
p56rep1-41	0.0	0.0	0.0	rep1
p56rep1-42	0.0	0.0	0.0	rep1
p56rep1-43	0.0	0.0	0.0	rep1
p56rep1-44	0.0	0.0	0.0	rep1
p56rep1-45	0.0	0.0	0.0	rep1
p56rep1-46	0.0	0.0	0.0	rep1
p56rep1-47	0.0	0.0	0.0	rep1
p56rep1-48	0.0	0.0	0.0	rep1
p56rep1-49	0.0	0.0	0.0	rep1
p56rep1-50	0.0	0.0	0.0	rep1
p56rep1-51	0.0	0.0	0.0	rep1
p56rep1-52	0.0	0.0	0.0	rep1
p56rep1-53	0.0	0.0	0.0	rep1
p56rep1-54	0.0	0.0	0.0	rep1
p56rep1-55	0.0	0.0	0.0	rep1
p56rep1-56	0.0	0.0	0.0	rep1
p56rep1-57	0.0	0.0	0.0	rep1
p56rep1-58	0.0	0.0	0.0	rep1
p56rep1-59	0.0	0.0	0.0	rep1
p56rep1-60	0.0	0.0	0.0	rep1
p56rep1-61	0.0	0.0	0.0	rep1
p56rep1-62	0.0	0.0	0.0	rep1
p56rep1-63	0.0	0.0	0.0	rep1
p56rep1-64	0.0	0.0	0.0	rep1
p56rep1-65	0.0	0.0	0.0	rep1
p56rep1-66	0.0	0.0	0.0	rep1
p56rep1-67	0.0	0.0	0.0	rep1
p56rep1-68	0.0	0.0	0.0	rep1
p56rep1-69	0.0	0.0	0.0	rep1
p56rep1-70	0.0	0.0	0.0	rep1
p56rep1-71	0.0	0.0	0.0	rep1
p56rep1-72	0.0	0.0	0.0	rep1
p56rep1-73	0.0	0.0	0.0	rep1
p56rep1-74	0.0	0.0	0.0	rep1
p56rep1-75	0.0	0.0	0.0	rep1
p56rep1-76	0.0	0.0	0.0	rep1
p56rep1-77	0.0	0.0	0.0	rep1
p56rep1-78	0.0	0.0	0.0	rep1
p56rep1-79	0.0	0.0	0.0	rep1
p56rep1-80	0.0	0.0	0.0	rep1
p56rep1-81	0.0	0.0	0.0	rep1
p56rep1-82	0.0	0.0	0.0	rep1
p56rep1-83	0.0	0.0	0.0	rep1
p56rep1-84	0.0	0.0	0.0	rep1
p56rep1-85	0.0	0.0	0.0	rep1
p56rep1-86	0.0	0.0	0.0	rep1
p56rep1-87	0.0	0.0	0.0	rep1
p56rep1-88	0.0	0.0	0.0	rep1
p56rep1-89	0.0	0.0	0.0	rep1
p56rep1-90	0.0	0.0	0.0	rep1
p56rep1-91	0.0	0.0	0.0	rep1
p56rep1-92	0.0	0.0	0.0	rep1
p56rep1-93	0.0	0.0	0.0	rep1
p56rep1-94	0.0	0.0	0.0	rep1
p56rep1-95	0.0	0.0	0.0	rep1
p56rep1-96	0.0	0.0	0.0	rep1
p56rep1-97	0.0	0.0	0.0	rep1
p56rep1-98	0.0	0.0	0.0	rep1
p56rep1-99	0.0	0.0	0.0	rep1
p56rep1-100	0.0	0.0	0.0	rep1
p56rep1-101	0.0	0.0	0.0	rep1
p56rep1-102	0.0	0.0	0.0	rep1
p56rep1-103	0.0	0.0	0.0	rep1
p56rep1-104	0.0	0.0	0.0	rep1
p56rep1-105	0.0	0.0	0.0	rep1
p56rep1-106	0.0	0.0	0.0	rep1
p56rep1-107	0.0	0.0	0.0	rep1
p56rep1-108	0.0	0.0	0.0	rep1
p56rep1-109	0.0	0.0	0.0	rep1
p56rep1-110	0.0	0.0	0.0	rep1
p56rep1-111	0.0	0.0	0.0	rep1
p56rep1-112	0.0	0.0	0.0	rep1
p56rep1-113	0.0	0.0	0.0	rep1
p56rep1-114	0.0	0.0	0.0	rep1
p56rep1-115	0.0	0.0	0.0	rep1
p56rep1-116	0.0	0.0	0.0	rep1
p56rep1-117	0.0	0.0	0.0	rep1
p56rep1-118	0.0	0.0	0.0	rep1
p56rep1-119	0.0	0.0	0.0	rep1
p56rep1-120	0.0	0.0	0.0	rep1
p56rep1-121	0.0	0.0	0.0	rep1
p56rep1-122	0.0	0.0	0.0	rep1
p56rep1-123	0.0	0.0	0.0	rep1
p56rep1-124	0.0	0.0	0.0	rep1
p56rep1-125	0.0	0.0	0.0	rep1
p56rep1-126	0.0	0.0	0.0	rep1
p56rep1-127	0.0	0.0	0.0	rep1
p56rep1-128	0.0	0.0	0.0	rep1
p56rep1-129	0.0	0.0	0.0	rep1
p56rep1-130	0.0	0.0	0.0	rep1
p56rep1-131	0.0	0.0	0.0	rep1
p56rep1-132	0.0	0.0	0.0	rep1
p56rep1-133	0.0	0.0	0.0	rep1
p56rep1-134	0.0	0.0	0.0	rep1
p56rep1-135	0.0	0.0	0.0	rep1
p56rep1-136	0.0	0.0	0.0	rep1
p56rep1-137	0.0	0.0	0.0	rep1
p56rep1-138	0.0	0.0	0.0	rep1
p56rep1-139	0.0	0.0	0.0	rep1
p56rep1-140	0.0	0.0	0.0	rep1
p56rep1-141	0.0	0.0	0.0	rep1
p56rep1-142	0.0	0.0	0.0	rep1
p56rep1-143	0.0	0.0	0.0	rep1
p56rep1-144	0.0	0.0	0.0	rep1
